ciudades;mes;Sexo;Periodo;Total
01 Araba/Álava;Jan;Mujeres;2009;0
01 Araba/Álava;Jan;Hombres;2009;1
01 Araba/Álava;Jan;Mujeres;2010;0
01 Araba/Álava;Jan;Hombres;2010;0
01 Araba/Álava;Jan;Mujeres;2011;1
01 Araba/Álava;Jan;Hombres;2011;1
01 Araba/Álava;Jan;Mujeres;2012;1
01 Araba/Álava;Jan;Hombres;2012;1
01 Araba/Álava;Jan;Hombres;2013;0
01 Araba/Álava;Jan;Mujeres;2013;2
01 Araba/Álava;Jan;Hombres;2014;1
01 Araba/Álava;Jan;Mujeres;2014;2
01 Araba/Álava;Jan;Mujeres;2015;0
01 Araba/Álava;Jan;Hombres;2015;2
01 Araba/Álava;Jan;Mujeres;2016;0
01 Araba/Álava;Jan;Hombres;2016;0
01 Araba/Álava;Jan;Hombres;2017;0
01 Araba/Álava;Jan;Mujeres;2017;1
01 Araba/Álava;Jan;Hombres;2018;0
01 Araba/Álava;Jan;Mujeres;2018;1
01 Araba/Álava;Jan;Mujeres;2019;0
01 Araba/Álava;Jan;Hombres;2019;1
01 Araba/Álava;Jan;Hombres;2020;0
01 Araba/Álava;Jan;Mujeres;2020;1
01 Araba/Álava;Jan;Mujeres;2021;0
01 Araba/Álava;Jan;Hombres;2021;1
01 Araba/Álava;Feb;Mujeres;2009;0
01 Araba/Álava;Feb;Hombres;2009;0
01 Araba/Álava;Feb;Hombres;2010;0
01 Araba/Álava;Feb;Mujeres;2010;1
01 Araba/Álava;Feb;Mujeres;2011;1
01 Araba/Álava;Feb;Hombres;2011;3
01 Araba/Álava;Feb;Mujeres;2012;1
01 Araba/Álava;Feb;Hombres;2012;1
01 Araba/Álava;Feb;Hombres;2013;0
01 Araba/Álava;Feb;Mujeres;2013;1
01 Araba/Álava;Feb;Mujeres;2014;0
01 Araba/Álava;Feb;Hombres;2014;1
01 Araba/Álava;Feb;Mujeres;2015;0
01 Araba/Álava;Feb;Hombres;2015;0
01 Araba/Álava;Feb;Mujeres;2016;0
01 Araba/Álava;Feb;Hombres;2016;1
01 Araba/Álava;Feb;Mujeres;2017;0
01 Araba/Álava;Feb;Hombres;2017;2
01 Araba/Álava;Feb;Mujeres;2018;0
01 Araba/Álava;Feb;Hombres;2018;2
01 Araba/Álava;Feb;Mujeres;2019;1
01 Araba/Álava;Feb;Hombres;2019;1
01 Araba/Álava;Feb;Mujeres;2020;1
01 Araba/Álava;Feb;Hombres;2020;3
01 Araba/Álava;Feb;Mujeres;2021;0
01 Araba/Álava;Feb;Hombres;2021;1
01 Araba/Álava;Mar;Hombres;2009;0
01 Araba/Álava;Mar;Mujeres;2009;2
01 Araba/Álava;Mar;Hombres;2010;1
01 Araba/Álava;Mar;Mujeres;2010;1
01 Araba/Álava;Mar;Hombres;2011;0
01 Araba/Álava;Mar;Mujeres;2011;0
01 Araba/Álava;Mar;Mujeres;2012;0
01 Araba/Álava;Mar;Hombres;2012;2
01 Araba/Álava;Mar;Hombres;2013;0
01 Araba/Álava;Mar;Mujeres;2013;1
01 Araba/Álava;Mar;Hombres;2014;0
01 Araba/Álava;Mar;Mujeres;2014;0
01 Araba/Álava;Mar;Hombres;2015;1
01 Araba/Álava;Mar;Mujeres;2015;3
01 Araba/Álava;Mar;Mujeres;2016;0
01 Araba/Álava;Mar;Hombres;2016;2
01 Araba/Álava;Mar;Hombres;2017;1
01 Araba/Álava;Mar;Mujeres;2017;2
01 Araba/Álava;Mar;Mujeres;2018;0
01 Araba/Álava;Mar;Hombres;2018;0
01 Araba/Álava;Mar;Hombres;2019;0
01 Araba/Álava;Mar;Mujeres;2019;2
01 Araba/Álava;Mar;Mujeres;2020;0
01 Araba/Álava;Mar;Hombres;2020;1
01 Araba/Álava;Mar;Mujeres;2021;0
01 Araba/Álava;Mar;Hombres;2021;0
01 Araba/Álava;Apr;Hombres;2009;0
01 Araba/Álava;Apr;Mujeres;2009;3
01 Araba/Álava;Apr;Mujeres;2010;1
01 Araba/Álava;Apr;Hombres;2010;2
01 Araba/Álava;Apr;Mujeres;2011;1
01 Araba/Álava;Apr;Hombres;2011;1
01 Araba/Álava;Apr;Mujeres;2012;0
01 Araba/Álava;Apr;Hombres;2012;2
01 Araba/Álava;Apr;Mujeres;2013;0
01 Araba/Álava;Apr;Hombres;2013;2
01 Araba/Álava;Apr;Mujeres;2014;1
01 Araba/Álava;Apr;Hombres;2014;1
01 Araba/Álava;Apr;Mujeres;2015;0
01 Araba/Álava;Apr;Hombres;2015;0
01 Araba/Álava;Apr;Hombres;2016;0
01 Araba/Álava;Apr;Mujeres;2016;0
01 Araba/Álava;Apr;Mujeres;2017;1
01 Araba/Álava;Apr;Hombres;2017;1
01 Araba/Álava;Apr;Mujeres;2018;0
01 Araba/Álava;Apr;Hombres;2018;1
01 Araba/Álava;Apr;Hombres;2019;1
01 Araba/Álava;Apr;Mujeres;2019;1
01 Araba/Álava;Apr;Mujeres;2020;0
01 Araba/Álava;Apr;Hombres;2020;1
01 Araba/Álava;Apr;Mujeres;2021;0
01 Araba/Álava;Apr;Hombres;2021;0
01 Araba/Álava;May;Mujeres;2009;0
01 Araba/Álava;May;Hombres;2009;0
01 Araba/Álava;May;Hombres;2010;0
01 Araba/Álava;May;Mujeres;2010;1
01 Araba/Álava;May;Mujeres;2011;1
01 Araba/Álava;May;Hombres;2011;1
01 Araba/Álava;May;Hombres;2012;0
01 Araba/Álava;May;Mujeres;2012;1
01 Araba/Álava;May;Mujeres;2013;0
01 Araba/Álava;May;Hombres;2013;1
01 Araba/Álava;May;Mujeres;2014;1
01 Araba/Álava;May;Hombres;2014;1
01 Araba/Álava;May;Mujeres;2015;0
01 Araba/Álava;May;Hombres;2015;0
01 Araba/Álava;May;Mujeres;2016;0
01 Araba/Álava;May;Hombres;2016;0
01 Araba/Álava;May;Mujeres;2017;0
01 Araba/Álava;May;Hombres;2017;1
01 Araba/Álava;May;Mujeres;2018;1
01 Araba/Álava;May;Hombres;2018;1
01 Araba/Álava;May;Hombres;2019;0
01 Araba/Álava;May;Mujeres;2019;1
01 Araba/Álava;May;Mujeres;2020;0
01 Araba/Álava;May;Hombres;2020;0
01 Araba/Álava;May;Mujeres;2021;0
01 Araba/Álava;May;Hombres;2021;2
01 Araba/Álava;Jun;Hombres;2009;0
01 Araba/Álava;Jun;Mujeres;2009;1
01 Araba/Álava;Jun;Hombres;2010;0
01 Araba/Álava;Jun;Mujeres;2010;2
01 Araba/Álava;Jun;Hombres;2011;0
01 Araba/Álava;Jun;Mujeres;2011;0
01 Araba/Álava;Jun;Hombres;2012;0
01 Araba/Álava;Jun;Mujeres;2012;0
01 Araba/Álava;Jun;Mujeres;2013;2
01 Araba/Álava;Jun;Hombres;2013;3
01 Araba/Álava;Jun;Hombres;2014;0
01 Araba/Álava;Jun;Mujeres;2014;0
01 Araba/Álava;Jun;Mujeres;2015;0
01 Araba/Álava;Jun;Hombres;2015;2
01 Araba/Álava;Jun;Mujeres;2016;1
01 Araba/Álava;Jun;Hombres;2016;3
01 Araba/Álava;Jun;Mujeres;2017;0
01 Araba/Álava;Jun;Hombres;2017;0
01 Araba/Álava;Jun;Hombres;2018;1
01 Araba/Álava;Jun;Mujeres;2018;2
01 Araba/Álava;Jun;Mujeres;2019;0
01 Araba/Álava;Jun;Hombres;2019;0
01 Araba/Álava;Jun;Hombres;2020;0
01 Araba/Álava;Jun;Mujeres;2020;1
01 Araba/Álava;Jun;Hombres;2021;0
01 Araba/Álava;Jun;Mujeres;2021;1
01 Araba/Álava;Jul;Mujeres;2009;0
01 Araba/Álava;Jul;Hombres;2009;0
01 Araba/Álava;Jul;Hombres;2010;0
01 Araba/Álava;Jul;Mujeres;2010;2
01 Araba/Álava;Jul;Mujeres;2011;0
01 Araba/Álava;Jul;Hombres;2011;0
01 Araba/Álava;Jul;Mujeres;2012;0
01 Araba/Álava;Jul;Hombres;2012;1
01 Araba/Álava;Jul;Mujeres;2013;0
01 Araba/Álava;Jul;Hombres;2013;1
01 Araba/Álava;Jul;Mujeres;2014;0
01 Araba/Álava;Jul;Hombres;2014;1
01 Araba/Álava;Jul;Mujeres;2015;0
01 Araba/Álava;Jul;Hombres;2015;2
01 Araba/Álava;Jul;Mujeres;2016;0
01 Araba/Álava;Jul;Hombres;2016;1
01 Araba/Álava;Jul;Hombres;2017;0
01 Araba/Álava;Jul;Mujeres;2017;1
01 Araba/Álava;Jul;Hombres;2018;0
01 Araba/Álava;Jul;Mujeres;2018;0
01 Araba/Álava;Jul;Mujeres;2019;0
01 Araba/Álava;Jul;Hombres;2019;1
01 Araba/Álava;Jul;Hombres;2020;0
01 Araba/Álava;Jul;Mujeres;2020;2
01 Araba/Álava;Jul;Hombres;2021;0
01 Araba/Álava;Jul;Mujeres;2021;1
01 Araba/Álava;Aug;Mujeres;2009;0
01 Araba/Álava;Aug;Hombres;2009;0
01 Araba/Álava;Aug;Hombres;2010;0
01 Araba/Álava;Aug;Mujeres;2010;2
01 Araba/Álava;Aug;Mujeres;2011;0
01 Araba/Álava;Aug;Hombres;2011;0
01 Araba/Álava;Aug;Hombres;2012;0
01 Araba/Álava;Aug;Mujeres;2012;1
01 Araba/Álava;Aug;Hombres;2013;0
01 Araba/Álava;Aug;Mujeres;2013;1
01 Araba/Álava;Aug;Mujeres;2014;0
01 Araba/Álava;Aug;Hombres;2014;0
01 Araba/Álava;Aug;Mujeres;2015;0
01 Araba/Álava;Aug;Hombres;2015;0
01 Araba/Álava;Aug;Mujeres;2016;0
01 Araba/Álava;Aug;Hombres;2016;1
01 Araba/Álava;Aug;Mujeres;2017;0
01 Araba/Álava;Aug;Hombres;2017;0
01 Araba/Álava;Aug;Mujeres;2018;0
01 Araba/Álava;Aug;Hombres;2018;0
01 Araba/Álava;Aug;Mujeres;2019;0
01 Araba/Álava;Aug;Hombres;2019;2
01 Araba/Álava;Aug;Mujeres;2020;0
01 Araba/Álava;Aug;Hombres;2020;0
01 Araba/Álava;Aug;Mujeres;2021;0
01 Araba/Álava;Aug;Hombres;2021;1
01 Araba/Álava;Sep;Mujeres;2009;0
01 Araba/Álava;Sep;Hombres;2009;1
01 Araba/Álava;Sep;Hombres;2010;0
01 Araba/Álava;Sep;Mujeres;2010;0
01 Araba/Álava;Sep;Hombres;2011;0
01 Araba/Álava;Sep;Mujeres;2011;0
01 Araba/Álava;Sep;Mujeres;2012;0
01 Araba/Álava;Sep;Hombres;2012;1
01 Araba/Álava;Sep;Mujeres;2013;0
01 Araba/Álava;Sep;Hombres;2013;2
01 Araba/Álava;Sep;Mujeres;2014;0
01 Araba/Álava;Sep;Hombres;2014;1
01 Araba/Álava;Sep;Mujeres;2015;0
01 Araba/Álava;Sep;Hombres;2015;1
01 Araba/Álava;Sep;Hombres;2016;0
01 Araba/Álava;Sep;Mujeres;2016;0
01 Araba/Álava;Sep;Hombres;2017;1
01 Araba/Álava;Sep;Mujeres;2017;1
01 Araba/Álava;Sep;Hombres;2018;0
01 Araba/Álava;Sep;Mujeres;2018;0
01 Araba/Álava;Sep;Mujeres;2019;0
01 Araba/Álava;Sep;Hombres;2019;0
01 Araba/Álava;Sep;Hombres;2020;0
01 Araba/Álava;Sep;Mujeres;2020;1
01 Araba/Álava;Sep;Mujeres;2021;0
01 Araba/Álava;Sep;Hombres;2021;2
01 Araba/Álava;Oct;Hombres;2009;0
01 Araba/Álava;Oct;Mujeres;2009;2
01 Araba/Álava;Oct;Mujeres;2010;0
01 Araba/Álava;Oct;Hombres;2010;1
01 Araba/Álava;Oct;Hombres;2011;0
